City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Cesme,TR,38.3228,26.3064,56.53,75,3,9.33,clear sky
208,Saskylakh,RU,71.9167,114.0833,-16.11,96,93,6.91,overcast clouds
209,Pandan,PH,14.0453,124.1694,83.68,79,100,13.98,light rain
210,Mwinilunga,ZM,-11.7358,24.4293,63.34,95,100,2.82,overcast clouds
211,Lodja,CD,-3.4833,23.4333,68.83,97,100,1.14,light rain
212,Alexandria,EG,31.2156,29.9553,63.14,51,49,6.31,scattered clouds
213,Bonavista,CA,48.6499,-53.1147,38.95,90,93,26.78,overcast clouds
214,Chuy,UY,-33.6971,-53.4616,60.64,92,100,13.0,overcast clouds
215,Sivakasi,IN,9.45,77.8167,81.77,70,88,6.13,overcast clouds
216,Saint-Philippe,RE,-21.3585,55.7679,76.59,64,51,11.41,broken clouds
217,La Ronge,CA,55.1001,-105.2842,21.45,86,100,2.3,mist
218,Alofi,NU,-19.0595,-169.9187,76.89,94,100,8.05,overcast clouds
219,Ruski Krstur,RS,45.5628,19.4158,44.62,78,99,4.47,overcast clouds
220,Puerto Ayacucho,VE,5.6639,-67.6236,76.21,90,34,4.43,scattered clouds
221,Iqaluit,CA,63.7506,-68.5145,8.33,78,100,19.57,light snow
222,Georgetown,MY,5.4112,100.3354,84.13,85,20,2.3,moderate rain
223,Grand Gaube,MU,-20.0064,57.6608,77.38,52,4,8.01,clear sky
224,Ozinki,RU,51.1786,49.6769,26.02,63,63,18.03,broken clouds
225,Potosi,BO,-19.5836,-65.7531,44.89,78,19,5.48,few clouds
226,Athabasca,CA,54.7169,-113.2854,18.01,92,86,5.28,overcast clouds
227,Limanowa,PL,49.7059,20.422,37.51,79,8,4.36,clear sky
228,Marawi,PH,7.9986,124.2928,83.12,61,99,6.76,overcast clouds
229,Pangnirtung,CA,66.1451,-65.7125,4.5,95,100,2.21,overcast clouds
230,Daru,PG,-9.0763,143.2092,81.54,82,100,7.85,light rain
231,Iskateley,RU,67.6803,53.1512,1.74,98,68,3.33,broken clouds
232,Zhifang,CN,30.35,114.3167,57.18,39,47,4.59,scattered clouds
233,Tevaitoa,PF,-16.7833,-151.5,79.0,76,92,3.42,overcast clouds
234,Kajaani,FI,64.2273,27.7285,30.25,93,100,8.05,overcast clouds
235,Povenets,RU,62.8487,34.8262,34.0,94,100,3.62,overcast clouds
236,Rayong,TH,12.8333,101.4333,92.62,99,68,3.74,broken clouds
237,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,88,75,8.34,broken clouds
238,Carnarvon,AU,-24.8667,113.6333,84.18,43,0,14.7,clear sky
239,Abu Dhabi,AE,24.4667,54.3667,83.97,76,0,5.75,clear sky
240,Mahajanga,MG,-15.7167,46.3167,78.82,78,20,2.3,few clouds
241,Salinopolis,BR,-0.6136,-47.3561,80.11,78,69,14.05,broken clouds
242,Evensk,RU,61.95,159.2333,19.53,61,100,22.59,overcast clouds
243,Upata,VE,8.0086,-62.3989,73.18,95,46,3.47,scattered clouds
244,Quang Ngai,VN,15.1167,108.8,83.55,74,64,6.51,broken clouds
245,Mount Gambier,AU,-37.8333,140.7667,51.62,65,90,10.54,overcast clouds
246,Verkhnyaya Inta,RU,65.9811,60.3094,-5.85,91,99,3.09,overcast clouds
247,Te Anau,NZ,-45.4167,167.7167,61.27,52,100,5.66,light rain
248,Tisul,RU,55.7611,88.3122,38.44,84,100,12.57,overcast clouds
249,Bintulu,MY,3.1667,113.0333,82.81,83,40,2.3,scattered clouds
250,Belmonte,BR,-15.8631,-38.8828,75.13,92,97,7.61,overcast clouds
251,Priekule,LV,56.4468,21.5897,40.32,91,100,0.81,overcast clouds
252,Risor,NO,58.7206,9.2342,48.25,88,100,20.11,overcast clouds
253,Namatanai,PG,-3.6667,152.4333,83.68,68,96,12.8,overcast clouds
254,Kodiak,US,57.79,-152.4072,37.89,91,100,5.44,overcast clouds
255,Fereydun Kenar,IR,36.6864,52.5225,53.82,76,0,6.91,clear sky
256,Ust-Nera,RU,64.5667,143.2,-11.25,98,100,5.68,overcast clouds
